"position","group_letter","team","team_id","played","points","gd","gf","currently_advancing","in_contention","provisional"
1,"K","Congo DR",1934,3,4,1,4,TRUE,FALSE,TRUE
2,"F","Sweden",792,3,4,0,7,TRUE,FALSE,TRUE
3,"E","Ecuador",791,3,4,0,2,TRUE,FALSE,TRUE
4,"L","Ghana",763,3,4,0,2,TRUE,FALSE,TRUE
5,"B","Bosnia-Herzegovina",1060,3,4,-1,5,TRUE,TRUE,TRUE
6,"D","Paraguay",761,3,4,-2,2,TRUE,TRUE,TRUE
7,"I","Senegal",804,3,3,2,8,TRUE,TRUE,TRUE
8,"G","Iran",840,3,3,0,3,TRUE,TRUE,TRUE
9,"A","South Korea",772,3,3,-1,2,FALSE,TRUE,TRUE
10,"J","Algeria",778,2,3,-2,2,FALSE,TRUE,TRUE
11,"C","Scotland",8873,3,3,-3,1,FALSE,TRUE,TRUE
12,"H","Uruguay",758,3,2,-1,3,FALSE,FALSE,TRUE
